PRIMARY_KEY,STATE,Region,YEAR,ENROLL,TOTAL_REVENUE,TOTAL_REVENUE_PS,FEDERAL_REVENUE,FEDERAL_REVENUE_PS,STATE_REVENUE,STATE_REVENUE_PS,LOCAL_REVENUE,LOCAL_REVENUE_PS,TOTAL_EXPENDITURE,TOTAL_EXPENDITURE_PS,INSTRUCTION_EXPENDITURE,INSTRUCTION_EXPENDITURE_PS,SUPPORT_SERVICES_EXPENDITURE,SUPPORT_SERVICES_EXP_PS,OTHER_EXPENDITURE,OTHER_EXPENDITURE_PS,CAPITAL_OUTLAY_EXPENDITURE,CAPITAL_OUTLAY_EXP_PS,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
2010_ALABAMA,ALABAMA,South,2010,748889,7281058,10.4330042,1134111,1.625063943,3800128,5.445190984,2346819,3.36274927,7647571,10.95817948,3900492,5.589002231,2308399,3.307697378,555539,0.796030016,729720,1.045613402,8179,57665,59117,57992,49719,467768,221940,697887,227.9626504,268.5241203,216.2733559,267.5774737
2011_ALABAMA,ALABAMA,South,2011,746933,7376725,10.73729402,1077070,1.567744124,3965614,5.772204262,2334041,3.397345634,7411768,10.78830134,3844055,5.59526738,2295909,3.341842074,559140,0.813863954,564183,0.821204363,8282,57602,56491,57919,49510,461122,217615,687019,231.286019,269.0965158,220.2734133,257.3835093
2012_ALABAMA,ALABAMA,South,2012,744621,7136949,10.41572571,789954,1.152865768,3948651,5.762695761,2398344,3.500164183,7222161,10.54008485,3695221,5.392837806,2239569,3.268446562,558658,0.815310365,580949,0.847842045,9032,59428,55859,58151,48945,458974,217203,685209,231.286019,269.0965158,220.2734133,257.3835093
2013_ALABAMA,ALABAMA,South,2013,744548,7197439,10.48506148,811739,1.182522467,3898347,5.679021104,2487353,3.623517912,7487741,10.90796667,3747993,5.459988899,2317243,3.375705626,576737,0.840177028,643522,0.93746786,9415,59757,55719,58799,48965,458327,218705,686447,232.8613325,269.1942806,218.5759534,269.5337264
2014_ALABAMA,ALABAMA,South,2014,740081,7357267,10.72136253,794090,1.157186054,4031547,5.874963751,2531630,3.689212722,7587737,11.05721447,3824295,5.572946191,2390530,3.483595031,587642,0.856340122,580934,0.846564902,11076,57939,55479,57471,49929,454081,221068,686225,232.8613325,269.1942806,218.5759534,269.5337264
2015_ALABAMA,ALABAMA,South,2015,734974,7360222,10.6952611,795238,1.155573574,4080167,5.92895858,2484817,3.610728941,7501799,10.90098899,3817479,5.547242275,2414860,3.50907326,594283,0.863562519,510091,0.741221722,13230,55613,55808,55792,50668,452764,222182,688176,230.9774227,266.5553185,217.0490898,269.0200282
1993_ALASKA,ALASKA,West,1993,121156,1191398,10.30451742,176150,1.523538519,775829,6.710220638,239419,2.070758266,1126398,9.742326088,494917,4.280585371,433788,3.751874692,36291,0.313884396,135791,1.174469594,2787,10329,10156,9160,6975,80485,32347,115619,223.8334546,277.6430714,211.5471536,262.1004242
1994_ALASKA,ALASKA,West,1994,123868,1052282,9.013276459,134168,1.149210265,668229,5.723686915,249885,2.140379278,1116160,9.560420735,516242,4.421848768,446458,3.824116901,36589,0.313401514,98486,0.84357762,2593,10309,10318,9503,7057,80817,33338,116748,223.8334546,277.6430714,211.5471536,262.1004242
1995_ALASKA,ALASKA,West,1995,125421,1117068,9.543429787,123037,1.051140101,710028,6.065971243,284003,2.426318442,1203817,10.28455118,515914,4.407600106,469085,4.007526634,37579,0.32104809,159146,1.359629563,2419,10567,10222,9573,7111,80448,34184,117051,223.8334546,277.6430714,211.5471536,262.1004242
1996_ALASKA,ALASKA,West,1996,126189,1120346,9.377791543,123505,1.033791476,706116,5.910503231,290725,2.433496836,1240031,10.37960793,636959,5.331628553,365085,3.055922925,38996,0.326413768,179297,1.500795192,2186,10451,10055,9627,7370,81725,35557,119468,223.8334546,277.6430714,211.5471536,262.1004242
